pkid,fkdevicepool,fkregion
2476a8e1-6836-49e8-b926-e622a22d55bd,4860667f-398f-45b3-b4df-99fc27a57b0f,1015a403-a2c3-bff6-2d49-906a66fe66b2
a924e485-01b8-4366-ae93-b18510e0cb2d,391c9d28-f65e-40e5-9575-2243ef21aea6,a2a81194-7718-051f-baa4-9dc4291ce04d
d8f10010-33ed-4da7-99d1-e5fdc80d73c6,38095be2-23d6-edc3-e90a-17198d4eb33e,25a2e2b2-629e-56ca-0d2c-86859124b035
b8169c8f-32a5-415b-9fbb-c4ee2fafe92e,3b302d74-64c3-4b83-d594-9fc210dde1d9,b4f3ed5f-132b-00e6-948a-07f542407c08
f798925d-21d3-48de-93fd-977e4a437046,3c64d81c-62de-440d-aaf6-bee3d0388177,26c9b704-6cfe-f0ac-192e-7a0436d427d8
a64aed8a-3586-4491-b430-6267b8e0e671,3b6258fc-237e-4102-8ac1-0841efdc9972,51390c24-2bcb-300b-b7c8-8a049d7f71d7
33e39e62-9e77-42bb-baca-a1fff651eb93,3ca8d938-0873-49ca-9a15-0cc1efa7b0f1,2f61df94-6fe5-1c52-5d34-290b43e89060
f55dc562-a011-4bd3-91ed-ce747ea9cc14,3785e8f6-8619-48e3-a2ce-0f50038ba00c,b3d20918-9554-01cc-0916-802fc98dae0f
a996499e-6acb-4012-8ca7-86ec9f79e57d,36eb1b55-11e0-46a7-9bab-f85a6cd491a1,eba5815a-8630-836f-7582-bd481d172a1e
570ed238-4555-4050-8531-2cdf350f47f6,3f7e557d-0f1a-4453-8ccf-0e999e291de0,8f0d11ce-4372-1239-b53c-eade8cd4e513
431f08a7-1cce-45d4-897c-355717a51490,3fdd5a65-f14a-4360-b1c1-f3362de8216f,df1e9108-b467-9ad6-25ab-476cd8959ec2
f2ff212c-a911-4e2d-b795-5a6fca5f61d4,3d48904d-aada-486a-8c74-1684221b890a,5bb2b7d3-ffa1-3733-6335-526f56602a46
cfd73409-e55c-4edb-8c39-4f0a9bb5406e,4a9c6a81-4581-52ca-a983-f3d4caa02b5a,d95aa19d-4512-66d6-e1b0-3ffd05dd3a11
f0a71ff7-4de8-401e-95e1-d879a3092ab1,4f749e89-3fc6-4a91-a19b-6ed6406f3c59,ba3a6844-ec58-ae1f-00f5-e6e2076b544d
d931021b-4e85-4110-b396-b8c02e74b4b5,4c7c5757-43dc-40d3-8cc5-81e128256090,f3fb411c-ba26-290a-c01d-1087a372d967
d7447ec4-b372-42d8-8faa-2f2addb4481a,4c2e4153-5fbe-4367-971a-1a81d9bf596d,2d3b9400-3f17-1010-a2dc-a7aeef382b01
bcbf99ac-e37e-403c-8afd-e7b346d8d472,4d4eec49-a02b-193b-2d2f-3c58e0057d8d,0d28ac54-c072-fe05-9bec-cf57b7120187
82f73355-e6dc-4192-b208-d684f35c8022,4fe52a6b-d664-4c83-b9c4-8c73eeeabba4,38ce52f2-b73e-8e40-7b66-cbcd61567cb8
e07d71d8-f22b-4581-98c1-36bd4bfc19c2,4c690a58-4aa0-44e7-bcf6-7ae5946517bd,e8831bf7-e626-dba4-85e7-6ed9ea8024a4
59dfb302-15fd-479e-bd17-3fbbf9aecec0,4f633b9a-8185-7815-b24a-a3c9983242b9,d5de0d12-b8ee-82d1-a469-8fa478a9f13f
37899f20-5b7f-45c5-8372-711eaa947a7e,55950ca9-1246-47d1-8356-9fe7a15bb993,80fae87b-aa3e-0334-c866-6381243cb317
3742235e-4b12-4389-b66d-1ec4b73a25cb,57690b85-d826-4d07-a555-71b39bdbc320,2fe063bf-267a-69f5-b2ac-98c11380707d
