pkid,fklinegroup,selectionorder
9912bd87-ac76-4e90-b4d3-7ce39b4fee10,d9b6c647-02f6-8dcf-707b-24bf23a29187,1
99a3662a-f636-1235-1757-f3fa615ada26,5126582e-b0a1-45a5-135b-d30f07e7217c,1
99b62530-7be0-e3bb-212c-3a50deb77996,c8669d2f-3717-916f-c7d3-bb2fd19e9b4a,1
99d1e138-a280-770a-7786-76a1e56dc1d4,367d15fb-cc8e-55cc-4134-4b13f4e33748,1
99eafeab-e3dc-162d-b310-dec00476d7f0,7e676294-8377-aee0-bd4c-e05636143a64,1
9a3229e6-c73a-c30a-47d9-8e10536808e6,ccce3514-4157-6875-4052-aff7fed39150,1
9a3b8d57-ef50-7cd1-33fb-971e07732ac1,f10d467f-6267-9115-8fe2-a0e3f4ac6985,1
9a4d3b1c-60c4-41cf-b502-3ef9323eb63d,f842836d-b5ef-7063-a643-105e9560814b,1
9a90e9d0-a454-7773-826e-ede0714e6341,64c08a42-9574-9c90-fd96-dc30998e4c32,1
9a979efd-ee0b-fc12-1b07-f036961add3a,4dd308ce-11e2-9ca6-3c5c-48ba30bd19f4,1
9ac1df59-d24a-99c5-3600-aec68df1f2e2,6b3fc8ba-3148-3011-1a3b-8aa5e52b33ea,1
9af875da-cb91-39cc-8400-757d6d93871c,f7dd0dd0-6b44-c5c8-8937-667add5d3e4c,1
9b07604e-1d4c-ca77-7efb-d6f6ce1d42e4,f027c5f7-d179-14f3-744a-66a93791b4da,1
9bca574f-4d1a-8497-9e32-ebe8b04dde7c,b0fa98cc-d815-ce0b-8dab-a146d9cb9de5,1
9bcc3204-d488-7eb0-b11a-e6cdccd8d043,4d422bd1-400b-b31b-a6e4-fcabb1318624,1
9c397946-e603-103b-0476-5908d676fbea,5c702969-cd91-39c4-bf1e-2872f39ad0eb,1
9c7c02bd-c4ae-afdc-0fce-b81deb9db950,bdd7d54d-60d3-5a44-b382-b6e3928f7e8b,1
9c95b57a-8f95-943a-a161-bf5bc4f668ef,812620d1-42c3-78c6-8e2c-35bffa74a27b,1
9c96f278-1486-d06e-79cd-bdb2aa161f09,3aa3bcea-1e3d-ce44-e6d0-d7c209d1ab7b,1
9cc71edf-ff84-4643-a87b-3599233d0b7b,ffdd025b-0669-259e-a5d8-3201d835c466,1
9ce29b97-71fd-9751-a0b2-46a9b1372ddd,f5be40a1-67c7-801d-b690-cb8b8acc4ed5,1
9d4886e7-2374-9daf-38b8-1079acabc334,357c65ff-51e9-167a-13df-c9fafe5864e8,1
9d609836-91d1-6cde-9a42-f934d68a35d4,fbe97bca-61be-d9ca-4d84-aa003a9e6551,1
